               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.1894,              1.4923,              1.7061,             0.86028,             0.75391,             0.81849,             0.66398,             0.96806,             0.91113,              1.6463,            0.002872,            0.002872,            0.002872
                  38,              1.1694,              1.4586,               1.692,             0.80987,             0.78562,             0.83143,             0.68305,             0.92509,             0.85156,              1.5906,            0.002674,            0.002674,            0.002674
                  39,              1.1643,               1.429,              1.6785,             0.75865,             0.80482,             0.84004,             0.68258,             0.92834,             0.80241,              1.5742,            0.002476,            0.002476,            0.002476
                  40,              1.1391,              1.3844,              1.6647,             0.91576,             0.71403,             0.82921,             0.68952,             0.89031,             0.81702,              1.5528,            0.002278,            0.002278,            0.002278
                  41,              1.1217,              1.3796,              1.6622,             0.89817,             0.73165,             0.83515,              0.6971,              0.8801,             0.79872,              1.5334,             0.00208,             0.00208,             0.00208
                  42,              1.1257,              1.3525,              1.6595,             0.79236,             0.81188,             0.85698,             0.71218,              0.8799,             0.76031,              1.5336,            0.001882,            0.001882,            0.001882
                  43,              1.0931,              1.3287,              1.6353,             0.83403,             0.76999,              0.8529,             0.70734,             0.87322,             0.75404,              1.5357,            0.001684,            0.001684,            0.001684
                  44,              1.0766,              1.2843,              1.6201,             0.83832,             0.79177,             0.85715,             0.70572,             0.88605,             0.74717,              1.5424,            0.001486,            0.001486,            0.001486
                  45,              1.0761,              1.2871,              1.6223,             0.83535,              0.8221,             0.86116,             0.71689,             0.84441,             0.72885,              1.5085,            0.001288,            0.001288,            0.001288
                  46,              1.0438,              1.2305,              1.5973,             0.85974,              0.7903,             0.85353,             0.70633,             0.87418,             0.71531,              1.5303,             0.00109,             0.00109,             0.00109
                  47,              1.0316,              1.2098,              1.5802,             0.86192,             0.79638,             0.85713,             0.72417,              0.8494,              0.7095,               1.505,            0.000892,            0.000892,            0.000892
                  48,              1.0304,              1.2202,              1.5876,             0.84715,             0.82818,             0.86687,             0.73226,             0.82314,             0.68416,              1.4873,            0.000694,            0.000694,            0.000694
                  49,              1.0342,              1.2175,              1.5974,             0.86411,             0.81468,             0.86836,             0.74216,             0.81973,              0.6704,              1.4808,            0.000496,            0.000496,            0.000496
